类目id,类目名称,淘宝主采集词数,淘宝副采集词数,京东主采集词数,京东副采集词数,主采集词,副采集词
,清洁美容,,,,,猫砂、猫砂盆、狗厕所、尿垫、宠物浴液、护毛素、宠物除味、宠物美毛护肤、宠物口鼻眼清洁、宠物美容电器、宠物清洁用具、宠物美容用具,
,玩具居家,,,,,宠物玩具、宠物食具水具、宠物鞋服、猫狗窝、鱼缸、水族箱,
,外出用具,,,,,宠物牵引、狗嘴套、宠物便携包,
,宠物健康,,,,,宠物药、宠物保健、狗驱虫、猫驱虫、宠物肠胃、宠物皮肤、宠物发育,
,住宅家具,,,,,书房家具、客厅家具、卧室家具、餐厅家具、门厅家具、儿童房家具、阳台家具,
,办公家具,,,,,办公桌椅、屏风隔断、前台接待、办公柜、会议桌椅、课桌椅、服装店家具、仓储货架、陈列展柜、商用展示柜、超市家具,
,五金电工,,,,,开关插座、家用门配件、家用工具、监控摄像头、指纹锁、工具箱、门锁、拉手接线板、电钻、电动工具、装修测量工具、配电箱/断路器,
,家装材料,,,,,油漆涂料、涂刷辅料、瓷砖、地板、壁纸、强化底板、美缝剂、防水涂料、管材管件、木材板材,
,灯具厨卫,,,,,吊灯、筒灯、射灯、节能灯、落地灯、LED灯、吸顶灯、支架灯、小夜灯、装饰台灯、普通台灯、灯具配件、浴霸、马桶、淋浴花洒、浴室柜、水槽、龙头、厨卫挂件、集成吊顶,灯具、厨房装修、卫浴家具
,玩具,,,,,DIY玩具、积木拼插、健身玩具、遥控玩具、毛绒玩具、娃娃玩具、电动玩具、创意玩具、益智玩具,
,乐器,,,,,键盘乐器、弦乐器、管乐器、吹奏乐器、打击乐器、民族乐器、乐器配件,
,动漫周边,,,,,日韩动漫周边、COSPLAY周边、欧美动漫周边、国产动漫周边、游戏周边、电影周边,动漫周边、游戏周边、电影周边
,模型,,,,,变形模型、火车模型、飞机模型、动物模型、汽车模型,模型玩具
,潮玩,,,,,手办、盲盒、扭蛋、桌游卡牌、人偶,潮玩、桌游
